SMILES,LogD,log_KSOL,log_HLM CLint,log_MLM CLint,log_Caco-2 Permeability Papp A>B,log_Caco-2 Permeability Efflux,log_MPPB,log_MBPB,log_MGMB,log_MDR1 Efflux_fang,log_KSOL_fang,log_HPPM_fang,log_RPPB_fang,log_RLM CLint_fang,LogD_az,logD7.4,log_Papp,log_kobs,pIC50_CYP3A4,pIC50_CYP2C9,pIC50_CYP2D6
C#CCNC(=O)CN1C(=O)c2ccccc2C1=O,,,,,,,,,,,1.589837943,,,,,,,,,,
C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,,,0.675686709,,,,,,,1.512232302,1.562530769,,,1.194764024,,,,,,,
C#CCNC(=O)Cc1coc(-c2ccccc2)n1,,,1.430268606,,,,,,,-0.143320722,,,,2.150805545,,,,,,,
C#CCNC(=O)Cc1coc2cc(OC)ccc12,,,1.188647296,,,,,,,-0.189636069,1.751587005,,,2.263446689,,,,,,,
C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,,,0.675686709,,,,,,,0.332467729,,,,1.549799964,,,,,,,
C#CCNC(=O)c1cc(C(C)C)nn1CC,,,0.675686709,,,,,,,-0.067999286,1.454082271,,,1.094610863,,,,,,,
C#CCNC(=O)c1ccc(OC)c(OC)c1,,,,,,,,,,,1.42975228,,,,,,,,,,
C#CCNC(=O)c1ccc2c(c1)OCO2,,,1.145755624,,,,,,,-0.092231106,1.415474168,,,1.536823483,,,,,,,
C#CCN[C@@H](C)Cc1ccccc1,,,,,,,,,,,,,,,,,,-1.629,4.976,4.785,5.983
C#CCOC(=O)C1=CCCN(C)C1,,,,,,,,,,,,,,,,,,-2.18,4.629,4.648,4.65
C#CCOC(=O)C1=CCCN(C)C1.Cc1ccc(S(=O)(=O)O)cc1,,,,,,,,,,,,,,,,,,-2.205,4.585,4.609,4.626
C#CCOC(=O)NC(/C=C/CCCC)c1ccccc1,,,,,,,,,,,,,,,,,,-1.766,5.197,5.438,4.773
C#CCOC(=O)[C@H](N)CC(N)=O,,,,,,,,,,,,,,,,,,-2.339,4.66,4.647,4.652
C#CCOCCCC(=O)O,,,,,,,,,,,,,,,,,,-2.179,4.795,4.769,4.753
C#CCOc1ccc(C(=O)NN2CCCC2=O)cc1,,,0.675686709,,,,,,,0.120182762,1.402948829,,,1.027920136,,,,,,,
C#CCOc1ccc(OC)cc1C(N)=O,,,1.139942023,,,,,,,-0.144326242,,,,1.8650862,,,,,,,
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,,,,,,,,,,,,,,,,,,-1.662,5.083,4.829,4.762
C#CCSc1nc(-c2ccco2)n[nH]1,,,,,,,,,,,,,,,,,,-1.965,4.666,4.762,4.618
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,,,,,,,,,,,,,,,1.75,,,,,,
C#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,,,,,,,,,,,,,,,3.96,,,,,,
C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,,,,,,,,,,,,,,,3.16,,,,,,
C#CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,,,,,,,,,,,,,,,3.4,,,,,,
C#CCn1c(=O)c2c(ncn2C)n(C)c1=O,,,,,,,,,,,,,,,,,,-2.109,4.612,4.594,4.611
C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,,,1.842771446,,,,,,,-0.095595312,,0.671265433,0.850278553,2.495928511,,,,,,,
C#C[C@@]1(O)CCC2C3CCC4=CC(=O)CCC4C3CC[C@@]21CC,,,,,,,,,,,,,,,,,,-1.897,4.986,4.722,4.675
C#C[C@@]1(O)CCC2C3CCc4cc(O)ccc4C3CC[C@@]21C,,,,,,,,,,,,,,,,,,-1.857,4.922,4.994,4.763
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@]21C,,,,,,,,,,,,,,,,,,-1.78,5.263,4.787,4.734
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21C,,,,,,,,,,,,,,,,,,-1.98,4.841,4.705,4.656
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21CC,,,,,,,,,,,,,,,,,,-2.06,4.884,4.714,4.695
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]21C,,,,,,,,,,,,,,,,,,-2.022,4.96,4.691,4.672
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]21C,,,,,,,,,,,,,,,,3.42,,,,,
C#C[C@@]1(O)CC[C@@H]2[C@H]3CCC4=Cc5oncc5C[C@@]4(C)[C@@H]3CC[C@]21C,,,,,,,,,,,,,,,,,-4.561461,,,,
C#C[C@@]1(O)CC[C@H]2[C@H]3CCC4=Cc5oncc5C[C@]4(C)[C@@H]3CC[C@@]21C,,,,,,,,,,,,,,,,,,-1.975,5.216,4.839,5.051
C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@H]4[C@H]3CC[C@]21C,,,,,,,,,,,,,,,,,,-1.914,5.101,4.792,4.711
C#C[C@H](N)CCC(=O)O,,,,,,,,,,,,,,,,,,-2.182,4.818,4.779,4.801
C#C[C@H]1CC[C@@H](C#N)N1C(=O)CNC1(C)CCN(c2cc(C(=O)O)ccn2)CC1,,,,,,,,,,,,,,,,,,-2.205,4.637,4.645,4.673
C#C[C@]1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CC[C@@]21C,,,,,,,,,,,,,,,,,,-1.61,5.293,4.874,4.716
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3CC[C@@]21C,,,,,,,,,,,,,,,,,,-1.723,4.989,4.761,4.658
C#C[C@]1(O)CCC2C3CCC4=Cc5oncc5C[C@@]4(C)C3CC[C@@]21C,,,,,,,,,,,,,,,,,,-1.681,5.475,4.919,4.837
C#C[C@]1(O)CC[C@@H]2[C@H]3CCC4=CCCC[C@@H]4[C@@H]3CC[C@@]21C,,,,,,,,,,,,,,,,,,-2.094,4.872,4.796,4.962
C#C[C@]1(O)CC[C@@H]2[C@H]3CCC4=Cc5oncc5C[C@]4(C)[C@@H]3CC[C@@]21C,,,,,,,,,,,,,,,,,,-1.95,5.229,4.875,5.044
C#C[C@]1(O)CC[C@@H]2[C@H]3CCc4cc(OC)ccc4[C@@H]3CC[C@@]21C,,,,,,,,,,,,,,,,,,-1.749,5.115,4.948,4.977
C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@@H](N5CCN(C(=O)[C@@H]6CCCN6C(=O)c6ccc7ccccc7n6)CC5)C[C@]4(C)[C@H]3CC[C@@]21C,,,,,,,,,,,,,,,,,,-1.759,5.085,4.709,4.742
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,,,,,,,,,,,,,,,,,-1.774,5.009,5.048,4.793
C#C[C@]1(O)CC[C@H]2[C@H]3CCC4=Cc5oncc5C[C@]4(C)[C@@H]3CC[C@]21C,,,,,,,,,,,,,,,,,,-1.905,5.295,4.866,5.024
C#C[C@]1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CC[C@]21C,,,,,,,,,,,,,,,,,,-1.809,4.932,4.693,4.659
C#Cc1c(Oc2ccc(NC(=O)NC(=O)Cc3ccc(F)cc3)cc2F)ccnc1N,,,,,,,,,,,,,,,,,,-1.878,4.771,4.861,4.732
C#Cc1c(Oc2ccc(NC(=O)c3cccn(-c4ccc(F)cc4)c3=O)cc2F)ccnc1N,,,,,,,,,,,,,,,,,,-1.974,4.75,4.772,4.696
C#Cc1cc(-c2ccc(C(=O)NCCOC)cc2)cc2cnccc12,3.5,1.334453751150931,1.639486489268586,2.939069749923424,1.0595634179012676,0.09342168516223506,-0.09691001300805639,0.26245108973042947,,,,,,,,,,,,,
C#Cc1cc(-c2ccc(OCCN(C)C)cc2)c2ccncc2c1,3.0,2.3384564936046046,1.390935107103379,3.236612828199769,,,,,,,,,,,,,,,,,
C#Cc1cc(-c2ccc(OCCN(C)C)cc2)cc2cnccc12,3.1,2.298853076409707,1.6180480967120927,3.2263162969393346,,0.11394335230683679,0.38021124171160603,-0.46852108295774486,,,,,,,,,,,,,
C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)c2ccncc2c1,3.8,2.1172712956557644,1.4941545940184429,2.3925210899319325,0.13033376849500614,0.290034611362518,0.36172783601759284,-0.37675070960209955,,,,,,,,,,,,,
C#Cc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,3.9,1.8893017025063104,1.3783979009481377,2.6400837313731205,-0.494850021680094,0.37106786227173627,-0.3979400086720376,-0.6777807052660807,,,,,,,,,,,,,
C#Cc1cc(C(=O)N[C@H]2[C@@H]3CN(c4ccncc4)C[C@@H]32)n(C)n1,0.2,2.4345689040341987,,,,,,,,,,,,,,,,,,,
C#Cc1cc(N)n2nc(-c3ccccc3)cc2n1,3.2,1.5185139398778875,2.2174839442139063,3.17260293120986,,,,,,,,,,,,,,,,,
C#Cc1cc2ncc(-c3ccc(OCCN4CC5CCC(C4)O5)cc3)cn2n1,2.9,0.14921911265537988,,,,,,,,,,,,,,,,,,,
C#Cc1cc2ncc(-c3ccc(OCCN4CCCCC4)cc3)cn2n1,2.5,2.0086001717619175,,,,,,,,,,,,,,,,,,,
C#Cc1cccc(-c2ccc(OCCN3CCCCC3)cc2)c1,3.7,1.3996737214810382,0.5797835966168101,2.342422680822206,,,,,,,,,,,,,,,,,
C#Cc1cccc(N(CC(=O)NC(N)=O)Cc2cccs2)c1,,,1.585990584,,,,,,,0.351122814,,,,3.205708492,,,,,,,
C#Cc1cccc(N(CCC(=O)NC(N)=O)Cc2cccs2)c1,,,1.710633471,,,,,,,0.27381245,,,,3.030717892,,,,,,,
C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1,,,,,,,,,,,,,,,0.92,,,,,,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,,,,,,,,,,,,,,3.35,,,,,,
C#Cc1cccc2c(C(=O)N3CCN(c4ccc(CN5CC(OC)C5)cc4)CC3)cn(C)c12,2.9,0.4885507165004443,1.534026106056135,3.3690859208215076,1.2846562827885157,-0.11350927482751812,0.6627578316815741,0.287801729930226,,,,,,,,,,,,,
C#Cc1cn(C)c(=O)c2[nH]c3cc(OCCN4CC5(COC5)C4)ccc3c12,1.9,1.2227164711475833,0.785329835010767,2.683407299132095,1.139249217571607,0.3364597338485295,0.8512583487190752,0.45939248775923086,,,,,,,,,,,,,
C#Cc1cn[nH]c1C(=O)N1CCN(Cc2cncc(Cl)c2)C2(CC2)C1,1.9,2.404833716619938,1.4281347940287887,2.553761698390004,,,,,,,,,,,,,,,,,
C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NC[C@@H]1CNCCO1,,,,,,,,,,,,,,,,,,-1.936,4.608,4.632,4.627
C#Cc1cnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)CCC)c3F)c2c1,,,,,,,,,,,,,,,,,,-1.62,5.155,5.537,4.821
C#Cc1cnn2c(-c3ccc(OCCN4CCCCC4)c(F)c3)ccnc12,2.3,2.093421685162235,0.568201724066995,1.7895807121644254,,,,,,,,,,,,,,,,,
C#Cc1cnn2cc(-c3ccc(C(N)=O)cc3)cnc12,1.4,0.8567288903828826,0.04139268515822508,1.575187844927661,,,,,,,,,,,,,,,,,
C#Cc1cnn2cc(-c3ccc(OCCN4CC5CCC(C4)O5)c(F)c3)ccc12,4.3,,2.149834696715785,2.674952948048565,,,,,,,,,,,,,,,,,
C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)c(F)c3)ccc12,3.6,,1.403120521175818,2.4072208929273966,,,,,,,,,,,,,,,,,
C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)ccc12,3.5,,1.252853030979893,2.2022157758011316,,,,,,,,,,,,,,,,,
C#Cc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,2.2,2.383815365980431,0.8633228601204559,1.9527924430440922,,,,,,,,,,,,,,,,,
C(#CC1C=CC2OC(c3ccccc3)OCC2O1)c1ccccc1,,,,,,,,,,,,,,,,,,-2.107,4.749,4.807,4.707
C(#CC1CC1)c1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,4.4,-0.4621809049267259,1.1172712956557642,1.9995654882259823,-1.6989700043360187,0.6232492903979004,,,,,,,,,,,,,,,
C(#CC1CC1)c1cc2ncc(-c3ccc(OCCN4CCCCC4)cc3)cn2n1,3.6,0.8645110810583919,,,,,,,,,,,,,,,,,,,
C(#CC1CC1)c1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,3.2,1.586587304671755,,,,,,,,,,,,,,,,,,,
C(#CCN1CCCC1)CN1CCCC1,,,,,,,,,,,,,,,,,,-2.422,4.561,4.643,4.834
C(#Cc1n[nH]c2ccccc12)c1ccccc1,,,,,,,,,,,,,,,4.31,,,,,,
C(=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)\CNC1CCOCC1,,,,,,,,,,,,,,,,,,-2.003,4.768,4.678,5.784
C(=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)\CNCC1CCOCC1,,,,,,,,,,,,,,,,,,-1.976,4.829,4.691,5.775
C(=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)\CNCc1ccccn1,,,,,,,,,,,,,,,,,,-1.893,4.954,4.723,6.054
C(=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)\CNCc1cccnc1,,,,,,,,,,,,,,,,,,-1.939,5.188,4.758,6.196
C(=C/CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)\CNCc1ccncc1,,,,,,,,,,,,,,,,,,-1.923,5.167,4.79,6.451
C(=C/c1c(-c2ccccc2)nc2sccn12)\c1ccncn1,,,,,,,,,,,,,,,3.4,,,,,,
